"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1207","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84",NA,NA
"ASV1208","Bacteria",NA,NA,NA,NA,NA,NA
"ASV1211","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Phreatobacter",NA
"ASV1212","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae",NA,NA
"ASV1213","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata",NA
"ASV1214","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae",NA,NA
"ASV1215","Bacteria",NA,NA,NA,NA,NA,NA
"ASV1220","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas",NA
"ASV1223","Bacteria",NA,NA,NA,NA,NA,NA
"ASV1224","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
