"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV8473","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales",NA,NA,NA
"ASV8522","Bacteria",NA,NA,NA,NA,NA,NA
"ASV8558","Bacteria",NA,NA,NA,NA,NA,NA
"ASV8638","Bacteria",NA,NA,NA,NA,NA,NA
"ASV8665","Bacteria",NA,NA,NA,NA,NA,NA
"ASV8715","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales",NA,NA,NA
"ASV8774","Bacteria",NA,NA,NA,NA,NA,NA
"ASV8833","Bacteria",NA,NA,NA,NA,NA,NA
"ASV9006","Bacteria",NA,NA,NA,NA,NA,NA
"ASV9014","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV9024","Bacteria",NA,NA,NA,NA,NA,NA
